MWG,NWG,KWG,MDIMC,NDIMC,MDIMA,NDIMB,KWI,VWM,VWN,STRM,STRN,SA,SB,Runtime
16,16,16,8,8,8,8,2,1,1,0,0,0,0,116.37
16,16,16,8,8,8,8,2,1,1,0,0,0,1,78.705
16,16,16,8,8,8,8,2,1,1,0,0,1,0,80.565
16,16,16,8,8,8,8,2,1,1,0,0,1,1,86.6375
16,16,16,8,8,8,8,2,1,1,0,1,0,0,118.6625
16,16,16,8,8,8,8,2,1,1,0,1,0,1,83.165
16,16,16,8,8,8,8,2,1,1,0,1,1,0,84.435
16,16,16,8,8,8,8,2,1,1,0,1,1,1,94.5125
16,16,16,8,8,8,8,2,1,1,1,0,0,0,119.0775
16,16,16,8,8,8,8,2,1,1,1,0,0,1,86.3025
16,16,16,8,8,8,8,2,1,1,1,0,1,0,83.94
16,16,16,8,8,8,8,2,1,1,1,0,1,1,86.8425
16,16,16,8,8,8,8,2,1,1,1,1,0,0,118.275
16,16,16,8,8,8,8,2,1,1,1,1,0,1,92.38
16,16,16,8,8,8,8,2,1,1,1,1,1,0,86.1675
16,16,16,8,8,8,8,2,1,1,1,1,1,1,105.995
16,16,16,8,8,8,8,2,1,2,0,0,0,0,77.305
16,16,16,8,8,8,8,2,1,2,0,0,0,1,65.1175
16,16,16,8,8,8,8,2,1,2,0,0,1,0,72.07
16,16,16,8,8,8,8,2,1,2,0,0,1,1,63.89
16,16,16,8,8,8,8,2,1,2,0,1,0,0,77.2775
16,16,16,8,8,8,8,2,1,2,0,1,0,1,65.4325
16,16,16,8,8,8,8,2,1,2,0,1,1,0,70.535
16,16,16,8,8,8,8,2,1,2,0,1,1,1,63.1825
16,16,16,8,8,8,8,2,1,2,1,0,0,0,79.19
16,16,16,8,8,8,8,2,1,2,1,0,0,1,70.23
16,16,16,8,8,8,8,2,1,2,1,0,1,0,75.4625
16,16,16,8,8,8,8,2,1,2,1,0,1,1,75.5875
16,16,16,8,8,8,8,2,1,2,1,1,0,0,79.2825
16,16,16,8,8,8,8,2,1,2,1,1,0,1,69.82
16,16,16,8,8,8,8,2,1,2,1,1,1,0,74.0775
16,16,16,8,8,8,8,2,1,2,1,1,1,1,75.95
16,16,16,8,8,8,8,2,2,1,0,0,0,0,73.825
16,16,16,8,8,8,8,2,2,1,0,0,0,1,71.09
16,16,16,8,8,8,8,2,2,1,0,0,1,0,62.7575
16,16,16,8,8,8,8,2,2,1,0,0,1,1,62.735
16,16,16,8,8,8,8,2,2,1,0,1,0,0,76.1525
16,16,16,8,8,8,8,2,2,1,0,1,0,1,74.3425
16,16,16,8,8,8,8,2,2,1,0,1,1,0,64.65
16,16,16,8,8,8,8,2,2,1,0,1,1,1,74.7075
16,16,16,8,8,8,8,2,2,1,1,0,0,0,73.6725
16,16,16,8,8,8,8,2,2,1,1,0,0,1,72.225
16,16,16,8,8,8,8,2,2,1,1,0,1,0,63.635
16,16,16,8,8,8,8,2,2,1,1,0,1,1,62.5525
16,16,16,8,8,8,8,2,2,1,1,1,0,0,76.2575
16,16,16,8,8,8,8,2,2,1,1,1,0,1,75.4975
16,16,16,8,8,8,8,2,2,1,1,1,1,0,64.78
16,16,16,8,8,8,8,2,2,1,1,1,1,1,74.0975
16,16,16,8,8,8,8,2,2,2,0,0,0,0,62.0525
16,16,16,8,8,8,8,2,2,2,0,0,0,1,56.6525
16,16,16,8,8,8,8,2,2,2,0,0,1,0,52.8975
16,16,16,8,8,8,8,2,2,2,0,0,1,1,53.445
16,16,16,8,8,8,8,2,2,2,0,1,0,0,62.2
16,16,16,8,8,8,8,2,2,2,0,1,0,1,56.69
16,16,16,8,8,8,8,2,2,2,0,1,1,0,54.92
16,16,16,8,8,8,8,2,2,2,0,1,1,1,54.0375
16,16,16,8,8,8,8,2,2,2,1,0,0,0,62.3475
16,16,16,8,8,8,8,2,2,2,1,0,0,1,57.95
16,16,16,8,8,8,8,2,2,2,1,0,1,0,53.1925
16,16,16,8,8,8,8,2,2,2,1,0,1,1,53.5125
16,16,16,8,8,8,8,2,2,2,1,1,0,0,62.42
16,16,16,8,8,8,8,2,2,2,1,1,0,1,58.2175
16,16,16,8,8,8,8,2,2,2,1,1,1,0,55.055
16,16,16,8,8,8,8,2,2,2,1,1,1,1,53.7025
16,16,16,8,8,8,8,8,1,1,0,0,0,0,91.0275
16,16,16,8,8,8,8,8,1,1,0,0,0,1,81.935
16,16,16,8,8,8,8,8,1,1,0,0,1,0,83.2
16,16,16,8,8,8,8,8,1,1,0,0,1,1,87.2975
16,16,16,8,8,8,8,8,1,1,0,1,0,0,91.8275
16,16,16,8,8,8,8,8,1,1,0,1,0,1,84.0025
16,16,16,8,8,8,8,8,1,1,0,1,1,0,82.69
16,16,16,8,8,8,8,8,1,1,0,1,1,1,94.95
16,16,16,8,8,8,8,8,1,1,1,0,0,0,93.15
16,16,16,8,8,8,8,8,1,1,1,0,0,1,87.625
16,16,16,8,8,8,8,8,1,1,1,0,1,0,85.7925
16,16,16,8,8,8,8,8,1,1,1,0,1,1,87.5075
16,16,16,8,8,8,8,8,1,1,1,1,0,0,95.86
16,16,16,8,8,8,8,8,1,1,1,1,0,1,93.255
16,16,16,8,8,8,8,8,1,1,1,1,1,0,85.705
16,16,16,8,8,8,8,8,1,1,1,1,1,1,106.11
16,16,16,8,8,8,8,8,1,2,0,0,0,0,72.66
16,16,16,8,8,8,8,8,1,2,0,0,0,1,65.685
16,16,16,8,8,8,8,8,1,2,0,0,1,0,71.2825
16,16,16,8,8,8,8,8,1,2,0,0,1,1,63.06
16,16,16,8,8,8,8,8,1,2,0,1,0,0,72.6225
16,16,16,8,8,8,8,8,1,2,0,1,0,1,65.93
16,16,16,8,8,8,8,8,1,2,0,1,1,0,70.8025
16,16,16,8,8,8,8,8,1,2,0,1,1,1,63.815
16,16,16,8,8,8,8,8,1,2,1,0,0,0,75.295
16,16,16,8,8,8,8,8,1,2,1,0,0,1,70.96
16,16,16,8,8,8,8,8,1,2,1,0,1,0,74.115
16,16,16,8,8,8,8,8,1,2,1,0,1,1,76.04
16,16,16,8,8,8,8,8,1,2,1,1,0,0,75.86
16,16,16,8,8,8,8,8,1,2,1,1,0,1,70.615
16,16,16,8,8,8,8,8,1,2,1,1,1,0,74.4975
16,16,16,8,8,8,8,8,1,2,1,1,1,1,76.5875
16,16,16,8,8,8,8,8,2,1,0,0,0,0,71.6975
16,16,16,8,8,8,8,8,2,1,0,0,0,1,69.48
16,16,16,8,8,8,8,8,2,1,0,0,1,0,64.8075
16,16,16,8,8,8,8,8,2,1,0,0,1,1,61.735
16,16,16,8,8,8,8,8,2,1,0,1,0,0,71.695
16,16,16,8,8,8,8,8,2,1,0,1,0,1,73.295
16,16,16,8,8,8,8,8,2,1,0,1,1,0,62.975
16,16,16,8,8,8,8,8,2,1,0,1,1,1,73.8775
16,16,16,8,8,8,8,8,2,1,1,0,0,0,71.79
16,16,16,8,8,8,8,8,2,1,1,0,0,1,71.6425
16,16,16,8,8,8,8,8,2,1,1,0,1,0,64.8075
16,16,16,8,8,8,8,8,2,1,1,0,1,1,62.4175
16,16,16,8,8,8,8,8,2,1,1,1,0,0,71.96
16,16,16,8,8,8,8,8,2,1,1,1,0,1,73.68
16,16,16,8,8,8,8,8,2,1,1,1,1,0,62.9875
16,16,16,8,8,8,8,8,2,1,1,1,1,1,73.605
16,16,16,8,8,8,8,8,2,2,0,0,0,0,58.525
16,16,16,8,8,8,8,8,2,2,0,0,0,1,55.62
16,16,16,8,8,8,8,8,2,2,0,0,1,0,52.635
16,16,16,8,8,8,8,8,2,2,0,0,1,1,53.505
16,16,16,8,8,8,8,8,2,2,0,1,0,0,58.9475
16,16,16,8,8,8,8,8,2,2,0,1,0,1,55.8075
16,16,16,8,8,8,8,8,2,2,0,1,1,0,53.0375
16,16,16,8,8,8,8,8,2,2,0,1,1,1,54.17
16,16,16,8,8,8,8,8,2,2,1,0,0,0,59.02
16,16,16,8,8,8,8,8,2,2,1,0,0,1,56.9425
16,16,16,8,8,8,8,8,2,2,1,0,1,0,53.13
16,16,16,8,8,8,8,8,2,2,1,0,1,1,53.915
16,16,16,8,8,8,8,8,2,2,1,1,0,0,58.635
16,16,16,8,8,8,8,8,2,2,1,1,0,1,56.8475
16,16,16,8,8,8,8,8,2,2,1,1,1,0,53.0025
16,16,16,8,8,8,8,8,2,2,1,1,1,1,53.855
16,16,16,8,8,8,16,2,1,1,0,0,0,0,115.6275
16,16,16,8,8,8,16,2,1,1,0,0,0,1,72.0725
16,16,16,8,8,8,16,2,1,1,0,0,1,0,80.5975
16,16,16,8,8,8,16,2,1,1,0,0,1,1,72.6325
16,16,16,8,8,8,16,2,1,1,0,1,0,0,114.535
16,16,16,8,8,8,16,2,1,1,0,1,0,1,71.93
